iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,Gender Equality,Children's Rights,Cultural and Linguistic Diversity,Fairness and Non-discrimination,Transparency and Explainability,Human Oversight and Determination,Environmental Impact,Labour Protections,Reskilling and upskilling initiatives,AI Literacy,Safety and Security,Access to Redress and Remedy,Impact Assessments,AI-facilitated Misinformation and Violence,Public Sector Skills Development,Public Disclosure of Government Algorithmic Systems,Public Procurement,Civil Society Engagement in Inclusion and Diversity,Civil Society Engagement in Ethics and Sustainability,Civil Society Engagement in Labour and Skills,Civil Society Engagement in Trust and Safety,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Egalitarian Democracy,Device affordability,Gender gap in mobile internet,Low-Carbon Energy Share,Rule of Law,Skills and Literacy,Labour Rights Compliance,Cybersecurity,Data Protection and Privacy,Data Sharing and Access,Consumer Protection,Global Peace,Civil Society Accountability,Public Service Delivery,Access to Public Information,URAI Penalty
KGZ,Kyrgyz Republic,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,8012.45,51.64,53.79,73.48,80.3,68.94,80.3,72.73,72.73,68.18,0,72.35,41.48,80.11,90.91,81.82,0,74.62,0,0,23.08,46.15,30.77,30.77,40,26.45,37.45,100,88.78,30.55,70.93,36.57,63.89,41.8,87.5,82.42,66.51,44.98,78.45,43.56,0.96
KHM,Cambodia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,7966.87,24.09,24.09,18.18,50,9.09,0,9.09,10.61,0,0,37.12,48.48,19.89,0,0,0,40.15,0,0,15.38,38.46,10.26,0,78.75,8.21,28.17,70.37,35.66,27.66,50.67,16.58,33.94,50,100,67.16,65.09,29.69,74.35,0,1
KOR,South Korea,Asia and Oceania,East Asia,Developed,East Asia & Pacific,High income,61051.35,47.69,49.68,9.09,36.36,0,70.45,65.45,74.55,0,9.09,71.82,70.45,72.5,63.64,72.5,61.36,9.09,61.36,9.09,15.38,23.08,20.51,4.4,0,84.06,74.35,93.55,39.89,79.98,95.47,52.28,100,83.4,37.5,77.33,78.1,87.03,100,80.78,0.96
KWT,Kuwait,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,52443.6,24.03,25.03,0,0,0,0,37.88,10.61,18.18,0,20.45,20.45,12.5,37.88,37.88,0,9.09,0,0,23.08,15.38,20.51,26.37,8.75,18.72,65.33,100,2.24,58.64,81.6,37.59,58.77,58.4,87.5,91.95,82.43,50.72,71.2,21.39,0.96
LAO,Lao People's Democratic Republic,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,9775.83,14.45,14.45,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,10.26,0,0,11.84,43.33,78.46,76.72,35.21,53.6,33.68,30.43,58.4,93.75,59.32,75.94,11.29,29.93,29.9,1
LBN,Lebanon,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12574.83,14.49,14.49,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,46.15,10.26,4.4,0,28.74,26.31,90.91,43.82,26.96,75.2,23.16,29.01,33.4,37.5,43.43,34.96,69.98,32.84,28.25,1
LBR,Liberia,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,1871.04,13.01,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,27.3,45,54.39,32.19,29.07,25.71,17.42,25.2,87.5,76.48,68.77,78.34,62.41,15.44,1
LBY,Libya,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,14303.81,29.29,29.29,59.47,37.12,0,40.15,39.39,40.15,37.88,0,67.42,68.94,46.02,37.12,0,0,67.42,0,0,0,0,10.26,4.4,0,12.92,49.76,100,0.03,12.21,68.8,28.93,66.5,0,12.5,0,43.97,57.97,10.7,17.88,1
LCA,Saint Lucia,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,27567.33,16.46,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,62.26,53.21,100,2.5,65.19,65.33,58.19,22.49,30.2,12.5,68.86,64.97,89.64,63.43,30.06,1
LKA,Sri Lanka,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,15632.59,31.81,31.81,20.45,9.09,22.73,11.36,11.36,59.09,10.61,0,21.97,31.06,11.93,67.42,67.42,9.09,22.73,0,10.23,7.69,23.08,51.28,4.4,30,68.96,29.34,44.26,55.24,46.88,69.33,48.56,86.37,33.4,37.5,59.96,62.51,78.28,66.97,39.22,1
LSO,Lesotho,Africa,South Africa,Developing,Sub-Saharan Africa ,Lower middle income,3001.16,22.8,22.8,0,39.39,10.61,22.73,12.12,11.36,10.61,0,12.12,6.44,12.5,9.85,12.12,0,12.12,0,0,0,0,0,0,8.75,57.25,25.17,100,100,43.29,44.8,35.78,27.11,41.8,87.5,75.85,53.68,75.75,31.21,36.07,1
LTU,Lithuania,Europe,North Europe,Developed,Europe & Central Asia,High income,55285.9,57.69,57.69,63.41,71.21,57.58,64.77,73.86,64.77,0,64.09,74.62,40.72,83.64,73.86,73.18,79.55,9.09,0,0,30.77,0,10.26,8.79,15,80.92,87.34,94.87,84.3,86.16,87.47,72.53,92.37,100,87.5,99.58,86.29,82.75,88.77,78.14,1
LVA,Latvia,Europe,North Europe,Developed,Europe & Central Asia,High income,43394.27,64.82,64.82,72.5,80.3,71.97,73.86,73.86,73.86,0,73.18,65.91,88.64,74.55,64.77,82.27,97.73,27.65,9.09,62.5,0,7.69,20.51,4.4,30,86.23,81.18,100,73.46,79.35,85.33,78.76,81.76,91.8,87.5,84.75,86.29,88.38,94.73,78.41,1
MAR,Morocco,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,10415.12,35.62,35.62,9.09,9.09,27.27,18.18,46.21,9.09,18.18,0,71.21,71.21,70.45,68.18,0,45.45,46.21,0,0,38.46,53.85,20.51,0,0,22.58,34.78,84.85,24.41,44.23,64,40.53,97.37,66.8,87.5,93.22,65.41,56.32,52.84,28.92,1
MDA,Republic of Moldova,Europe,Eastern Europe,Developed,Europe & Central Asia,Upper middle income,18614.99,42.04,42.04,57.58,0,0,68.18,59.09,58.33,0,58.33,66.67,57.58,60.23,0,58.33,11.36,41.67,9.09,0,23.08,0,20.51,8.79,87.5,51.21,74.01,85.54,10.71,49.2,77.33,37.07,63.52,66.8,93.75,92.58,69.73,63.93,81.32,57.61,1
MEX,Mexico,South and Central America,Central America,Developing,Latin America & Caribbean ,Upper middle income,26185.36,27.95,29.11,11.36,70.45,0,22.73,12.12,11.36,0,38.64,15.15,9.09,12.5,13.64,12.88,33.24,0,0,0,53.85,30.77,41.03,21.98,0,30.07,75.34,95.88,24.58,25.31,80.53,28.92,85.05,83.4,37.5,77.12,36.71,62.2,89.24,57.4,0.96
MKD,North Macedonia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,26995.43,37.28,37.28,0,9.09,0,0,62.5,0,0,9.09,80.3,71.21,0,0,67.05,0,39.39,0,9.09,30.77,67.69,82.05,43.96,40,43.12,87.34,100,39.46,47.67,73.87,49.75,64.18,66.8,87.5,96.82,75.21,65.89,81.53,40.43,1
MMR,Myanmar,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,5997.47,11.71,12.2,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,9.09,0,0,0,0,0,17.58,0,4.95,17.4,69.13,47.86,9.48,58.13,34.43,72.26,8.4,87.5,50.21,17.89,11.73,57.59,10.36,0.96
MNE,Montenegro,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,34062.76,27.65,28.8,9.09,0,9.09,9.09,9.09,9.09,0,0,18.18,40.53,9.09,0,9.09,0,27.27,0,0,7.69,53.85,20.51,17.58,40,58.57,65.04,95.35,59.49,57.45,74.93,65.5,73.57,66.8,87.5,94.49,80.45,81.43,53.69,42.12,0.96
MNG,Mongolia,Asia and Oceania,East Asia,Developing,East Asia & Pacific,Upper middle income,19144.73,20.68,20.68,9.09,0,0,9.09,9.09,9.09,9.09,0,9.09,9.09,9.09,9.09,9.09,0,9.09,9.09,9.09,0,0,10.26,0,0,44.2,29.3,100,8.84,50.68,79.47,40.45,54.19,58.4,37.5,81.78,78.89,71.77,80.61,37.58,1
MOZ,Mozambique,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1705.38,13.49,13.49,0,0,9.09,0,0,0,0,0,9.09,9.09,9.09,0,0,18.18,0,0,0,7.69,0,0,8.79,0,20.77,17.98,44.83,83.43,24.32,32.27,18.66,64.37,40,12.5,68.64,53.4,50.44,41.95,5.31,1
MUS,Mauritius,Africa,East Africa,Developing,Sub-Saharan Africa ,Upper middle income,31839.76,26.29,26.29,0,0,0,34.09,33.33,32.58,0,0,55.68,26.14,0,0,0,0,0,0,0,0,0,0,0,0,67.63,46.42,84.62,17.89,68.45,72.8,51.45,100,91.8,87.5,78.81,85,87.97,95.04,37.61,1
MWI,Malawi,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1857.62,19.91,19.91,0,0,0,0,0,97.73,0,0,0,9.09,18.18,0,67.42,0,0,0,0,0,0,20.51,0,0,36.35,18.21,15.38,95.63,49.56,36.53,35.77,79.44,16.8,12.5,92.16,68.03,69.51,35.49,19.33,1
MYS,Malaysia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Upper middle income,38779.28,38.55,40.15,59.47,0,0,40.91,22.61,11.59,49.24,38.64,80.68,26.14,48.3,0,48.48,0,73.41,0,46.59,23.08,0,30.77,8.79,17.5,43.96,64.76,86.52,20.37,61.39,76,44.63,98.76,83.4,87.5,94.49,90.39,60.54,93.91,20.06,0.96
NER,Niger,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,2049.93,12.01,12.01,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,0,0,10.26,4.4,0,23.91,7.89,100,3.16,30.32,7.2,47.33,38.96,83.4,0,66.1,31.05,69.76,0.41,10.05,1
NGA,Nigeria,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,9086.88,45.87,45.87,74.62,68.41,73.11,82.95,63.26,56.82,63.26,0,71.97,75.38,73.86,69.09,64.02,63.64,0,0,0,0,15.38,20.51,8.79,90,36.35,25.2,26.76,25,28.85,38.13,22.54,81.52,83.4,87.5,87.92,25.99,77.29,57.62,11.56,1
NLD,Netherlands,Europe,Western Europe,Developed,Europe & Central Asia,High income,86173.63,69.58,77.31,72.5,98.48,80.3,92.05,92.05,92.05,78.03,73.18,78.41,47.35,92.73,73.86,73.18,97.73,79.36,82.95,18.18,49.23,53.85,57.44,43.96,85,87.32,83.35,95.79,53.66,94.16,97.6,80.55,99.18,100,93.75,95.13,89.37,81.71,70.29,83.39,0.9
NOR,Norway,Europe,North Europe,Developed,Europe & Central Asia,High income,102037.53,74.66,74.66,72.5,80.3,66.7,73.86,73.86,73.86,70.08,73.18,66.7,66.02,74.55,73.86,73.18,79.55,69.32,63.81,64.83,38.46,15.38,51.28,39.56,40,100,89.63,93.94,98.61,100,92.27,100,96.87,66.8,100,97.67,82.34,96.25,79.83,100,1
NPL,Nepal,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,5736.62,37.69,39.26,57.95,0,59.47,59.47,58.71,0,50,0,58.71,60.98,59.66,0,0,57.95,67.8,0,0,30.77,46.15,0,35.16,0,49.03,26.62,67.21,100,45.77,55.73,31.44,68.25,40,12.5,73.52,66.56,73.7,60.5,29.54,0.96
NZL,New Zealand,Asia and Oceania,Oceania (Pacific),Developed,East Asia & Pacific,High income,55551.14,46.12,46.12,0,9.09,46.21,58.71,48.48,47.73,0,0,61.74,44.32,37.5,10.61,47.73,11.36,9.09,48.3,41.48,30.77,46.15,30.77,17.58,0,85.75,84.96,95.7,85.98,93.21,93.33,78.85,81.75,66.8,37.5,64.62,98.99,87.69,86.04,90.17,1
OMN,Oman,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,41740.17,35.56,35.56,57.58,54.55,69.32,70.45,60.61,57.58,0,0,0,0,69.89,0,58.33,0,31.82,0,68.18,0,0,0,0,2.5,19.08,56.29,8.22,4.89,63.9,82.13,27.23,96.85,58.4,87.5,84.53,78.01,29.47,82.98,30.97,1
PAK,Pakistan,Asia and Oceania,South West Asia,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6252.12,38.93,40.55,66.67,0,0,0,64.39,65.91,0,0,75,67.42,67.05,64.39,64.39,63.64,74.24,64.77,0,15.38,7.69,30.77,0,47.5,12.92,39.53,24.97,50.27,28.6,47.2,2.19,96.53,58.4,87.5,98.73,29.3,58.66,82.77,11.67,0.96
PAN,Panama,South and Central America,Central America,Developing,Latin America & Caribbean ,High income,41369.42,25.56,25.56,9.85,0,9.09,13.64,11.36,9.85,9.85,9.85,9.09,9.09,10.23,10.61,11.36,0,9.85,0,0,0,15.38,0,21.98,31.25,52.78,83.32,77.78,67.98,46.74,71.2,60.69,64.87,50.2,87.5,78.6,65.69,79.19,69.24,39.82,1
PER,Peru,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,17802.42,50.06,50.06,62.05,61.36,0,64.77,64.77,63.41,62.05,63.41,61.36,64.77,62.9,0,64.09,62.39,80.91,0,0,15.38,38.46,0,8.79,47.5,44.93,45.24,89.61,60.11,40.91,79.47,38.87,82.77,75,87.5,70.55,62.6,66.72,96.69,39.18,1
PHL,Philippines,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,11794.14,32.98,32.98,37.88,19.7,20.45,40.91,62.12,22.73,18.94,19.7,19.7,31.06,5.4,21.97,22.73,21.02,5.68,0,65.91,0,30.77,20.51,8.79,8.75,18.48,19.56,100,20.47,39.27,67.47,29.53,93.16,100,87.5,90.89,59.15,65.18,79.6,39.79,1
POL,Poland,Europe,Central Europe,Developed,Europe & Central Asia,High income,51262.51,60.19,60.19,63.41,80.3,66.02,64.77,73.86,64.77,0,64.09,67.39,69.43,74.55,73.86,64.09,70.45,38.24,0,52.16,0,15.38,20.51,35.16,85,79.11,76.99,97.56,31.15,66.97,92.53,52.14,93.21,100,93.75,92.8,79.16,86.09,80.84,61.91,1
PRT,Portugal,Europe,Western Europe,Developed,Europe & Central Asia,High income,51679.89,60,62.5,63.41,80.3,75,73.86,64.77,73.86,0,64.09,70.45,76.14,74.55,73.86,64.09,79.55,53.79,0,0,38.46,53.85,20.51,4.4,40,72.22,76.54,97.78,85.19,78.89,94.13,56.33,99.85,100,100,97.46,94.89,84.66,97.03,49.34,0.96
PRY,Paraguay,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,18523.68,26.14,26.14,0,0,9.09,21.21,22.73,21.97,0,9.85,9.09,0,10.8,11.36,12.12,16.48,9.09,0,0,7.69,46.15,20.51,17.58,0,27.17,67.8,100,100,39.03,66.4,29.35,73.68,58.4,87.5,81.99,66.84,67.19,84.96,45.56,1
PSE,State of Palestine,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,4371.11,20.52,20.52,0,9.09,57.95,0,0,0,0,0,56.82,0,0,0,0,0,57.95,0,0,0,0,0,0,2.5,20.77,40.4,91.88,39.39,29.27,74.67,30.18,34.53,61.2,0,63.28,28.66,38.88,63.95,30.97,1
QAT,Qatar,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,126046.35,38.88,38.88,38.64,0,40.91,50,55.3,39.39,39.39,0,66.67,60.61,40.34,37.88,47.73,47.16,69.32,0,0,0,23.08,0,0,0,10.27,83.71,100,4.02,67.27,77.33,20.22,100,58.4,87.5,80.51,84.68,19.98,89.26,29.73,1
ROU,Romania,Europe,Central Europe,Developed,Europe & Central Asia,High income,49076.54,51.69,51.69,63.41,71.21,0,64.77,64.77,64.77,0,64.09,74.24,32.95,74.55,64.77,64.09,79.55,65.15,0,0,15.38,15.38,10.26,13.19,15,49.28,51.54,97.3,67.2,62.01,80.8,71.43,91.2,100,37.5,97.03,78.79,71.14,68.86,54.34,1
RWA,Rwanda,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,3710.86,33.56,33.56,37.88,0,0,40.91,40.15,38.64,0,0,65.53,76.14,38.07,0,0,0,65.53,0,63.64,0,0,0,0,30,18.24,31.16,1.57,49.56,55.49,49.87,60.43,97.98,83.4,87.5,84.32,64.31,29.11,86.88,53.27,1
SAU,Saudi Arabia,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,71375.37,33.36,34.75,18.18,0,9.09,50,59.09,40.91,46.21,0,73.86,45.45,40.91,40.15,34.09,43.18,34.85,0,0,0,7.69,0,0,0,11.71,56.15,97.94,2.16,58.14,90.13,27.23,100,66.8,87.5,98.31,64.35,21.8,99.9,30.97,0.96
SEN,Senegal,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,5070.65,31.09,31.09,0,0,9.09,0,63.64,0,0,0,74.24,74.24,0,0,65.91,0,74.24,0,60.23,0,0,0,0,30,53.62,27.26,59.42,19.79,48.15,31.2,59.35,65.71,100,37.5,80.72,68.91,77.84,46.55,31.82,1
SGP,Singapore,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,High income,150689.3,45.3,45.3,45.45,48.48,76.14,48.48,39.39,39.39,70.45,31.06,36.36,0,50,0,54.55,64.2,41.29,0,0,7.69,0,0,8.79,0,42.75,100,100,4.93,87.53,98.13,73.47,99.85,91.8,100,95.97,95.54,49.06,98.99,64.42,1
SLE,Sierra Leone,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,3522.31,14.91,14.91,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0,30.77,0,20.51,0,0,38.65,25.16,40.74,95.24,32.9,18.93,23.91,54.46,41.8,12.5,66.74,71.16,80.79,60.25,8.01,1
SLV,El Salvador,South and Central America,Central America,Developing,Latin America & Caribbean ,Upper middle income,13264.03,36.66,36.66,72.73,0,0,63.64,65.15,61.36,66.67,0,9.09,73.48,65.34,0,65.15,0,56.82,0,0,0,23.08,0,0,0,13.16,50.2,82.93,90.81,35.91,58.93,34.5,34.16,33.4,87.5,62.29,59.71,42.77,87.52,31.88,1
SOM,Somalia,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1601.96,12.05,12.05,0,0,0,0,0,57.27,0,0,0,0,0,67.05,67.73,0,0,0,0,0,0,0,0,0,10.02,9.09,44.48,20.93,0,9.07,26.52,34.26,10,37.5,42.58,20.75,56.35,0.3,22.12,1
SRB,Serbia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,32832.18,50.13,50.13,65.91,37.88,75,49.24,48.48,66.67,64.39,36.36,65.91,77.27,47.73,0,64.39,0,76.52,0,62.5,0,7.69,10.26,8.79,30,31.4,59.87,94.94,32.06,48.27,82.4,56.45,96.66,50.2,87.5,94.07,69.92,51.32,96.02,42.32,1
SSD,South Sudan,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1154.89,4.04,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,0,0,1.93,0,0,1.79,5.61,2.67,26.52,31.1,0,0,38.77,14.58,23.34,38.64,22.12,1
SVK,Slovakia,Europe,Central Europe,Developed,Europe & Central Asia,High income,48132.36,50.25,50.25,63.41,71.21,0,64.77,64.77,64.77,0,64.09,0,71.97,65.45,73.86,64.09,70.45,0,9.66,0,7.69,7.69,0,24.62,45,66.43,82.8,90.36,85.81,66.58,78.4,70.33,94.17,91.8,87.5,82.84,83.95,66.53,75.28,67.53,1
SVN,Slovenia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,High income,57186.37,66.13,66.13,63.41,80.3,74.24,64.77,64.77,64.77,59.32,73.18,75.76,67.42,74.55,64.77,64.09,79.55,42.05,0,75.57,7.69,46.15,10.26,26.37,90,71.01,76.07,87.23,76.06,76.64,88.53,68.99,96.3,100,87.5,96.4,93.15,72.08,92.76,68.74,1
TCD,Chad,Africa,Central Africa,Developing,Sub-Saharan Africa ,Low income,2742.66,6.51,6.51,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,5.41,18.31,0,25.91,46.11,91.8,37.5,74.15,38.68,42.08,0,9.73,1
TGO,Togo,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,3365.46,14.4,14.4,0,0,0,0,0,0,0,0,9.09,18.18,0,0,0,0,0,0,0,7.69,15.38,0,0,0,27.17,12.09,52.94,29.58,37.85,46.13,36.03,89.56,83.4,12.5,86.23,48.44,51.52,78.09,3.87,1
THA,Thailand,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Upper middle income,24712.07,36.44,36.44,0,9.09,0,40.15,39.39,37.88,37.12,0,69.32,71.59,39.2,0,39.39,0,67.05,0,38.07,30.77,7.69,20.51,8.79,30,27.9,41.61,100,14.84,47.89,77.33,40.1,99.18,58.4,87.5,95.13,65.18,55.27,90.89,35.12,1
TJK,Tajikistan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,5405.98,18.37,18.37,0,0,0,0,59.09,0,0,0,0,40.15,59.09,0,0,0,28.41,0,0,7.69,0,10.26,0,15,5.31,0,34.38,94.59,24.59,61.07,36.95,21.64,66.8,68.75,25.85,66.15,9.91,13.55,32.84,1
TKM,Turkmenistan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,21213.09,11.31,11.31,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,0,0,15.38,0,0,0,0,8.57,60.35,100,0.03,19.07,77.33,33.63,22.15,16.8,37.5,16.53,65.09,5.6,16.6,32.84,1
TTO,Trinidad and Tobago,Caribbean,,Developing,Latin America & Caribbean ,High income,36328.51,26.14,26.14,0,0,0,61.74,20.45,9.09,0,9.09,69.32,0,11.36,0,11.36,18.18,18.18,0,0,23.08,0,0,4.4,40,77.9,54.72,100,0.1,44.14,66.13,56.9,54.04,58.4,37.5,97.88,65.04,82.75,58.67,35.42,1
TUN,Tunisia,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,14521.01,16.37,16.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,23.08,0,26.37,0,37.08,46.57,77.78,4.4,44.31,69.87,19.88,81.03,91.8,37.5,71.61,66.05,55.05,74.55,30.76,1
TZA,United Republic of Tanzania,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,4220.8,22.96,22.96,0,75.76,12.12,13.64,12.88,12.12,0,0,9.85,10.61,13.07,0,12.12,9.09,9.09,0,0,15.38,30.77,10.26,4.4,0,36.47,30.39,31.03,32.92,40.58,42.13,44.52,99.23,50.2,87.5,90.68,67.57,59.63,89.31,18.85,1
UGA,Uganda,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,3273.27,17.01,17.71,0,0,0,0,0,55.91,0,0,0,0,0,56.59,0,0,0,0,0,7.69,0,0,13.19,0,14.86,15.47,5.57,97.07,35.31,47.47,13.53,82.26,66.8,93.75,91.53,55.98,43.02,80.96,11.95,0.96
UKR,Ukraine,Europe,Eastern Europe,Developed,Europe & Central Asia,Upper middle income,18550.46,42.17,45.34,0,34.85,43.94,33.33,51.82,44.7,0,9.09,64.77,67.8,44.89,67.73,44.55,42.61,28.03,0,0,43.08,67.69,51.28,96.7,75,34.42,50.1,100,73.92,35.75,80,50.87,83.14,50.2,93.75,88.14,0,56.32,97.34,53.77,0.93
URY,Uruguay,South and Central America,South America,Developing,Latin America & Caribbean ,High income,36417.87,56.99,59.36,64.39,0,63.64,74.24,72.73,63.64,0,39.39,62.88,9.09,63.64,62.73,74.24,61.93,74.24,72.16,63.07,0,38.46,20.51,13.19,30,81.76,72.51,95.7,98.88,75.96,85.07,85.74,94.43,50.2,87.5,85.59,75.9,87.2,94.63,72.13,0.96
USA,United States of America,Northern America,,Developed,North America,High income,85809.9,53.63,57.67,65.15,71.97,0,22.73,39.94,76.36,9.09,38.64,83.71,69.7,40.8,30.51,67.39,59.09,42.23,66.36,76.99,46.15,61.54,41.03,61.54,30,55.07,87.11,100,41.87,76.23,100,39.29,99.85,75,87.5,92.16,45.58,75.72,76.92,73.93,0.93
UZB,Uzbekistan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,11878.55,26.82,26.82,9.09,0,68.18,13.64,13.64,9.09,9.09,0,69.7,39.02,0,0,11.36,15.91,61.74,0,0,7.69,23.08,0,0,0,16.55,20.74,70.37,15.95,37.29,65.33,37.34,88.66,50.2,87.5,67.16,69.37,36.15,95.12,15.13,1
VNM,Viet Nam,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,16385.51,41.65,41.65,0,64.02,20,21.36,20.68,12.27,28.41,9.09,69.7,75,20.34,10.91,20,36.99,78.79,19.32,56.82,30.77,53.85,30.77,35.16,40,17.75,37.54,85.71,42.28,45.52,70.67,54.16,99.73,66.8,87.5,84.32,78.79,29.3,81.97,28.74,1
XKX,Kosovo,Europe,Balkans (South East Europe),Developing,Europe & Central Asia,Upper middle income,17864.42,18.59,18.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,53.5,62.95,96.24,6.68,54.34,77.07,30.64,68.87,100,87.5,95.07,70.19,69.76,81.3,44.27,1
ZAF,South Africa,Africa,South Africa,Developing,Sub-Saharan Africa ,Upper middle income,15456.2,29.68,29.68,9.09,0,10.61,11.36,12.12,9.85,0,0,18.94,10.61,9.66,64.09,0,18.18,18.94,0,0,69.23,46.15,51.28,21.98,30,60.63,41.38,93.75,15.66,53.51,80.27,58.65,85.56,83.4,87.5,95.97,50,80.68,64.91,45.91,1
ZMB,Zambia,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,4214.89,29.12,29.12,0,0,0,64.77,9.09,63.26,0,0,63.26,74.62,0,0,65.15,0,9.09,0,0,15.38,0,20.51,13.19,37.5,30.19,15.07,54,87.47,39.57,57.33,13.49,92.21,75,37.5,81.36,69.92,75.5,60.98,25.73,1
ZWE,Zimbabwe,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,5928.08,15.18,15.18,9.09,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,46.15,0,30.77,0,14.37,19.4,100,57.12,23.94,55.2,30,36.86,58.4,0,72.67,55.7,41.03,75.62,11.67,1